Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Parc Outremont (Bloomfield / Elmwood),45.46714,-73.54259,Parc Outremont (Bloomfield / Elmwood),45.4599858,-73.5439557,93.0,1430.8709677419354,69.89247311827957
Jardin Botanique (Pie-IX / Sherbrooke),45.46714,-73.54259,Rosemont / Viau,45.4599858,-73.5439557,93.0,1230.6774193548388,59.13978494623656
Elgar / de l'Île-des-Sœurs,45.46714,-73.54259,Elgar / de l'Île-des-Sœurs,45.4599858,-73.5439557,92.0,2199.1847826086955,70.65217391304348
Léa-Roback / Sir-Georges-Etienne-Cartier,45.46714,-73.54259,Marché Atwater,45.4599858,-73.5439557,91.0,871.4945054945055,65.93406593406593
Berlioz / de l'Île des Soeurs,45.46714,-73.54259,Place du Commerce,45.4599858,-73.5439557,90.0,1306.111111111111,62.22222222222222
des Bassins / du Séminaire,45.46714,-73.54259,Marché Atwater,45.4599858,-73.5439557,89.0,1050.6067415730338,59.55056179775281
Joseph-Manseau / René-Lévesque,45.46714,-73.54259,Joseph-Manseau / René-Lévesque,45.4599858,-73.5439557,89.0,1573.1348314606741,44.9438202247191
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.46714,-73.54259,Parc Jeanne-Mance (du Mont-Royal / du Parc),45.4599858,-73.5439557,89.0,1859.426966292135,60.67415730337079
de la Commune / Place Jacques-Cartier,45.46714,-73.54259,Marché Atwater,45.4599858,-73.5439557,88.0,1555.0681818181818,43.18181818181818
Berlioz / de l'Île des Soeurs,45.46714,-73.54259,Berlioz / de l'Île des Soeurs,45.4599858,-73.5439557,88.0,2218.5454545454545,47.72727272727273
Rosemont / Viau,45.46714,-73.54259,Jardin Botanique (Pie-IX / Sherbrooke),45.4599858,-73.5439557,88.0,1216.0568181818182,61.36363636363637
Melville / de Maisonneuve,45.46714,-73.54259,de Maisonneuve / Greene,45.4599858,-73.5439557,87.0,482.17241379310343,70.11494252873564
Durocher / Bernard,45.46714,-73.54259,Hutchison / Van Horne,45.4599858,-73.5439557,85.0,865.9058823529411,64.70588235294117
de la Commune / Place Jacques-Cartier,45.46714,-73.54259,des Bassins / Richmond,45.4599858,-73.5439557,83.0,1298.313253012048,49.39759036144578
de Kent / de la Côte-des-Neiges,45.46714,-73.54259,de Kent / de la Côte-des-Neiges,45.4599858,-73.5439557,83.0,1826.578313253012,53.01204819277109
Parc des Rapides (LaSalle / 6e avenue),45.46714,-73.54259,LaSalle / 37e avenue,45.4599858,-73.5439557,83.0,1096.120481927711,44.57831325301205
Métro Laurier (Rivard / Laurier),45.46714,-73.54259,Métro Laurier (Rivard / Laurier),45.4599858,-73.5439557,82.0,1255.621951219512,78.04878048780488
Querbes / Laurier,45.46714,-73.54259,Querbes / Laurier,45.4599858,-73.5439557,82.0,1747.719512195122,48.78048780487805
Earnscliffe / Queen-Mary,45.46714,-73.54259,Earnscliffe / Queen-Mary,45.4599858,-73.5439557,82.0,1747.7073170731708,35.36585365853659
Jeanne-Mance / Bernard,45.46714,-73.54259,Jeanne-Mance / Bernard,45.4599858,-73.5439557,81.0,1422.7283950617284,66.66666666666666
Place du Commerce,45.46714,-73.54259,Berlioz / de l'Île des Soeurs,45.4599858,-73.5439557,81.0,1250.9876543209878,71.60493827160494
